album,end_date,music,rank,singer,start_date,week_num,year
NewJeans 1st EP `New Jeans`,2022.11.05,Hype boy,6,NewJeans,2022.10.30,45,2022
WSG워너비 1집,2022.10.29,그때 그 순간 그대로 (그그그),15,WSG워너비 (가야G),2022.10.23,44,2022
Rush Hour,2022.11.05,Rush Hour (Feat. j-hope of BTS),7,크러쉬 (CRUSH),2022.10.30,45,2022
5.3,2022.10.29,그라데이션,16,10cm,2022.10.23,44,2022
NewJeans 1st EP `New Jeans`,2022.11.05,Attention,8,NewJeans,2022.10.30,45,2022
우린 그렇게 사랑해서,2022.10.29,우린 그렇게 사랑해서,17,"강민경, 잔나비",2022.10.23,44,2022
Monologue,2022.11.05,Monologue,9,테이 (Tei),2022.10.30,45,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2022.11.12,사건의 지평선,1,윤하,2022.11.06,46,2022
해요 (2022),2022.10.29,해요 (2022),18,#안녕,2022.10.23,44,2022
BORN PINK,2022.11.05,Shut Down,10,BLACKPINK,2022.10.30,45,2022
I love,2022.11.12,Nxde,2,(여자)아이들,2022.11.06,46,2022
I NEVER DIE,2022.10.29,TOMBOY,19,(여자)아이들,2022.10.23,44,2022
LOVE DIVE,2022.11.05,LOVE DIVE,11,IVE (아이브),2022.10.30,45,2022
ANTIFRAGILE,2022.11.12,ANTIFRAGILE,3,LE SSERAFIM (르세라핌),2022.11.06,46,2022
NewJeans 1st EP `New Jeans`,2022.10.29,Cookie,20,NewJeans,2022.10.23,44,2022
Pink Venom,2022.11.05,Pink Venom,12,BLACKPINK,2022.10.30,45,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.11.12,새삥 (Prod. ZICO) (Feat. 호미들),4,지코 (ZICO),2022.11.06,46,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.10.29,사랑인가 봐,21,멜로망스(Melomance),2022.10.23,44,2022
FIVE SENSES,2022.11.05,자격지심 (Feat. ZICO),13,BE`O (비오),2022.10.30,45,2022
After LIKE,2022.11.12,After LIKE,5,IVE (아이브),2022.11.06,46,2022
FEARLESS,2022.10.29,FEARLESS,22,LE SSERAFIM (르세라핌),2022.10.23,44,2022
딱 10CM만,2022.11.05,딱 10CM만,14,"10cm, BIG Naughty (서동현)",2022.10.30,45,2022
NewJeans 1st EP `New Jeans`,2022.11.12,Hype boy,6,NewJeans,2022.11.06,46,2022
나의 X에게,2022.10.29,나의 X에게,23,경서,2022.10.23,44,2022
WSG워너비 1집,2022.11.05,그때 그 순간 그대로 (그그그),15,WSG워너비 (가야G),2022.10.30,45,2022
Rush Hour,2022.11.12,Rush Hour (Feat. j-hope of BTS),7,크러쉬 (CRUSH),2022.11.06,46,2022
내가 아니라도,2022.10.29,내가 아니라도,24,주호,2022.10.23,44,2022
5.3,2022.11.05,그라데이션,16,10cm,2022.10.30,45,2022
NewJeans 1st EP `New Jeans`,2022.11.12,Attention,8,NewJeans,2022.11.06,46,2022
신사와 아가씨 OST Part.2,2022.10.29,사랑은 늘 도망가,25,임영웅,2022.10.23,44,2022
우린 그렇게 사랑해서,2022.11.05,우린 그렇게 사랑해서,17,"강민경, 잔나비",2022.10.30,45,2022
Monologue,2022.11.12,Monologue,9,테이 (Tei),2022.11.06,46,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2022.11.19,사건의 지평선,1,윤하,2022.11.13,47,2022
별에서 온 그대 OST Part 7,2022.10.29,너의 모든 순간,26,성시경,2022.10.23,44,2022
5.3,2022.11.05,그라데이션,18,10cm,2022.10.30,45,2022
NewJeans 1st EP `New Jeans`,2022.11.12,Attention,10,NewJeans,2022.11.06,46,2022
Polaroid,2022.11.19,London Boy,2,임영웅,2022.11.13,47,2022
NewJeans 1st EP `New Jeans`,2022.10.29,Cookie,27,NewJeans,2022.10.23,44,2022
해요 (2022),2022.11.05,해요 (2022),19,#안녕,2022.10.30,45,2022
Monologue,2022.11.12,Monologue,11,테이 (Tei),2022.11.06,46,2022
Polaroid,2022.11.19,Polaroid,3,임영웅,2022.11.13,47,2022
내가 아니라도,2022.10.29,내가 아니라도,28,주호,2022.10.23,44,2022
우린 그렇게 사랑해서,2022.11.05,우린 그렇게 사랑해서,20,"강민경, 잔나비",2022.10.30,45,2022
LOVE DIVE,2022.11.12,LOVE DIVE,12,IVE (아이브),2022.11.06,46,2022
I love,2022.11.19,Nxde,4,(여자)아이들,2022.11.13,47,2022
정이라고 하자,2022.10.29,정이라고 하자 (Feat. 10CM),29,BIG Naughty (서동현),2022.10.23,44,2022
FEARLESS,2022.11.05,FEARLESS,21,LE SSERAFIM (르세라핌),2022.10.30,45,2022
BORN PINK,2022.11.12,Shut Down,13,BLACKPINK,2022.11.06,46,2022
ANTIFRAGILE,2022.11.19,ANTIFRAGILE,5,LE SSERAFIM (르세라핌),2022.11.13,47,2022
WSG워너비 1집,2022.10.29,보고싶었어,30,WSG워너비 (4FIRE),2022.10.23,44,2022
I NEVER DIE,2022.11.05,TOMBOY,22,(여자)아이들,2022.10.30,45,2022
Pink Venom,2022.11.12,Pink Venom,14,BLACKPINK,2022.11.06,46,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.11.19,새삥 (Prod. ZICO) (Feat. 호미들),6,지코 (ZICO),2022.11.13,47,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2022.11.26,사건의 지평선,1,윤하,2022.11.20,48,2022
ELEVEN,2022.10.29,ELEVEN,31,IVE (아이브),2022.10.23,44,2022
I NEVER DIE,2022.11.05,TOMBOY,23,(여자)아이들,2022.10.30,45,2022
Pink Venom,2022.11.12,Pink Venom,15,BLACKPINK,2022.11.06,46,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.11.19,새삥 (Prod. ZICO) (Feat. 호미들),7,지코 (ZICO),2022.11.13,47,2022
ANTIFRAGILE,2022.11.26,ANTIFRAGILE,2,LE SSERAFIM (르세라핌),2022.11.20,48,2022
That`s Hilarious,2022.10.29,That`s Hilarious,32,Charlie Puth,2022.10.23,44,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.11.05,사랑인가 봐,24,멜로망스(Melomance),2022.10.30,45,2022
FIVE SENSES,2022.11.12,자격지심 (Feat. ZICO),16,BE`O (비오),2022.11.06,46,2022
Polaroid,2022.11.19,Polaroid,8,임영웅,2022.11.13,47,2022
I love,2022.11.26,Nxde,3,(여자)아이들,2022.11.20,48,2022
WSG워너비 1집,2022.10.29,보고싶었어,33,WSG워너비 (4FIRE),2022.10.23,44,2022
별에서 온 그대 OST Part 7,2022.11.05,너의 모든 순간,25,성시경,2022.10.30,45,2022
딱 10CM만,2022.11.12,딱 10CM만,17,"10cm, BIG Naughty (서동현)",2022.11.06,46,2022
Rush Hour,2022.11.19,Rush Hour (Feat. j-hope of BTS),9,크러쉬 (CRUSH),2022.11.13,47,2022
NewJeans 1st EP `New Jeans`,2022.11.26,Hype boy,4,NewJeans,2022.11.20,48,2022
취중고백,2022.10.29,취중고백,34,김민석,2022.10.23,44,2022
나의 X에게,2022.11.05,나의 X에게,26,경서,2022.10.30,45,2022
WSG워너비 1집,2022.11.12,그때 그 순간 그대로 (그그그),18,WSG워너비 (가야G),2022.11.06,46,2022
NewJeans 1st EP `New Jeans`,2022.11.19,Attention,10,NewJeans,2022.11.13,47,2022
Polaroid,2022.11.26,London Boy,5,임영웅,2022.11.20,48,2022
전설,2022.10.29,주저하는 연인들을 위해,35,잔나비,2022.10.23,44,2022
우린 그렇게 사랑해서,2022.11.05,우린 그렇게 사랑해서,27,"강민경, 잔나비",2022.10.30,45,2022
해요 (2022),2022.11.12,해요 (2022),19,#안녕,2022.11.06,46,2022
Monologue,2022.11.19,Monologue,11,테이 (Tei),2022.11.13,47,2022
After LIKE,2022.11.26,After LIKE,6,IVE (아이브),2022.11.20,48,2022
첫사랑,2022.10.29,첫사랑,36,백아,2022.10.23,44,2022
내가 아니라도,2022.11.05,내가 아니라도,28,주호,2022.10.30,45,2022
5.3,2022.11.12,그라데이션,20,10cm,2022.11.06,46,2022
LOVE DIVE,2022.11.19,LOVE DIVE,12,IVE (아이브),2022.11.13,47,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.11.26,새삥 (Prod. ZICO) (Feat. 호미들),7,지코 (ZICO),2022.11.20,48,2022
다정히 내 이름을 부르면 (경서예지 x 전건호),2022.10.29,다정히 내 이름을 부르면,37,"경서예지, 전건호",2022.10.23,44,2022
NewJeans 1st EP `New Jeans`,2022.11.05,Cookie,29,NewJeans,2022.10.30,45,2022
FEARLESS,2022.11.12,FEARLESS,21,LE SSERAFIM (르세라핌),2022.11.06,46,2022
BORN PINK,2022.11.19,Shut Down,13,BLACKPINK,2022.11.13,47,2022
Polaroid,2022.11.26,Polaroid,8,임영웅,2022.11.20,48,2022
LOVE me,2022.10.29,LOVE me,38,BE`O (비오),2022.10.23,44,2022
정이라고 하자,2022.11.05,정이라고 하자 (Feat. 10CM),30,BIG Naughty (서동현),2022.10.30,45,2022
신사와 아가씨 OST Part.2,2022.11.12,사랑은 늘 도망가,22,임영웅,2022.11.06,46,2022
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2022.11.19,Dreamers (Feat. FIFA Sound),14,"정국, 방탄소년단",2022.11.13,47,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2022.12.10,사건의 지평선,1,윤하,2022.12.04,50,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.11.26,새삥 (Prod. ZICO) (Feat. 호미들),9,지코 (ZICO),2022.11.20,48,2022
That`s Hilarious,2022.10.29,That`s Hilarious,39,Charlie Puth,2022.10.23,44,2022
5.3,2022.11.05,그라데이션,31,10cm,2022.10.30,45,2022
신사와 아가씨 OST Part.2,2022.11.12,사랑은 늘 도망가,23,임영웅,2022.11.06,46,2022
쇼미더머니 11 Episode 1,2022.11.19,위하여 (We Higher) (Prod. GroovyRoom),15,"그루비룸 (GroovyRoom), 릴보이 (lIlBOI), Blase (블라세), 노윤하, Polodared, Chillin Homie, Fleeky Bang",2022.11.13,47,2022
NewJeans 1st EP `New Jeans`,2022.12.10,Hype boy,2,NewJeans,2022.12.04,50,2022
Polaroid,2022.11.26,Polaroid,10,임영웅,2022.11.20,48,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2022.12.03,사건의 지평선,1,윤하,2022.11.27,49,2022
Snowman,2022.10.29,Snowman,40,Sia,2022.10.23,44,2022
취중고백,2022.11.05,취중고백,32,김민석,2022.10.30,45,2022
5.3,2022.11.12,그라데이션,24,10cm,2022.11.06,46,2022
FIVE SENSES,2022.11.19,자격지심 (Feat. ZICO),16,BE`O (비오),2022.11.13,47,2022
NewJeans 1st EP `New Jeans`,2022.12.10,Hype boy,3,NewJeans,2022.12.04,50,2022
LOVE DIVE,2022.11.26,LOVE DIVE,11,IVE (아이브),2022.11.20,48,2022
ANTIFRAGILE,2022.12.03,ANTIFRAGILE,2,LE SSERAFIM (르세라핌),2022.11.27,49,2022
떠나보낼 준비해 둘걸 그랬어,2022.10.29,떠나보낼 준비해 둘걸 그랬어,41,임한별,2022.10.23,44,2022
ELEVEN,2022.11.05,ELEVEN,33,IVE (아이브),2022.10.30,45,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.11.12,사랑인가 봐,25,멜로망스(Melomance),2022.11.06,46,2022
딱 10CM만,2022.11.19,딱 10CM만,17,"10cm, BIG Naughty (서동현)",2022.11.13,47,2022
I love,2022.12.10,Nxde,4,(여자)아이들,2022.12.04,50,2022
Monologue,2022.11.26,Monologue,12,테이 (Tei),2022.11.20,48,2022
NewJeans 1st EP `New Jeans`,2022.12.03,Hype boy,3,NewJeans,2022.11.27,49,2022
LOVE me,2022.10.29,LOVE me,42,BE`O (비오),2022.10.23,44,2022
That`s Hilarious,2022.11.05,That`s Hilarious,34,Charlie Puth,2022.10.30,45,2022
I NEVER DIE,2022.11.12,TOMBOY,26,(여자)아이들,2022.11.06,46,2022
해요 (2022),2022.11.19,해요 (2022),18,#안녕,2022.11.13,47,2022
After LIKE,2022.12.10,After LIKE,5,IVE (아이브),2022.12.04,50,2022
BORN PINK,2022.11.26,Shut Down,13,BLACKPINK,2022.11.20,48,2022
I love,2022.12.03,Nxde,4,(여자)아이들,2022.11.27,49,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2022.12.17,사건의 지평선,1,윤하,2022.12.11,51,2022
Christmas Kisses,2022.10.29,Last Christmas,43,Ariana Grande,2022.10.23,44,2022
5.3,2022.11.05,그라데이션,35,10cm,2022.10.30,45,2022
딱 10CM만,2022.11.12,딱 10CM만,27,"10cm, BIG Naughty (서동현)",2022.11.06,46,2022
Rush Hour,2022.11.19,Rush Hour (Feat. j-hope of BTS),19,크러쉬 (CRUSH),2022.11.13,47,2022
I love,2022.12.10,Nxde,6,(여자)아이들,2022.12.04,50,2022
Merry Christmas (Deluxe Anniversary Edition),2022.11.26,All I Want For Christmas Is You,14,Mariah Carey,2022.11.20,48,2022
After LIKE,2022.12.03,After LIKE,5,IVE (아이브),2022.11.27,49,2022
NewJeans 1st EP `New Jeans`,2022.12.17,Hype boy,2,NewJeans,2022.12.11,51,2022
That`s Hilarious,2022.10.29,That`s Hilarious,44,Charlie Puth,2022.10.23,44,2022
NewJeans 1st EP `New Jeans`,2022.11.05,Cookie,36,NewJeans,2022.10.30,45,2022
FEARLESS,2022.11.12,FEARLESS,28,LE SSERAFIM (르세라핌),2022.11.06,46,2022
BORN PINK,2022.11.19,Shut Down,20,BLACKPINK,2022.11.13,47,2022
Candy - Winter Special Mini Album,2022.12.10,Candy,7,NCT DREAM,2022.12.04,50,2022
Monologue,2022.11.26,Monologue,15,테이 (Tei),2022.11.20,48,2022
I love,2022.12.03,Nxde,6,(여자)아이들,2022.11.27,49,2022
ANTIFRAGILE,2022.12.17,ANTIFRAGILE,3,LE SSERAFIM (르세라핌),2022.12.11,51,2022
NewJeans `OMG`,2022.12.24,Ditto,1,NewJeans,2022.12.18,52,2022
정이라고 하자,2022.10.29,정이라고 하자 (Feat. 10CM),45,BIG Naughty (서동현),2022.10.23,44,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.11.05,사랑인가 봐,37,멜로망스(Melomance),2022.10.30,45,2022
겨울 스페셜 앨범 `12월의 기적 (Miracles In December)`,2022.11.12,첫 눈,29,EXO,2022.11.06,46,2022
Polaroid,2022.11.19,Polaroid,21,임영웅,2022.11.13,47,2022
After LIKE,2022.12.10,After LIKE,8,IVE (아이브),2022.12.04,50,2022
LOVE DIVE,2022.11.26,LOVE DIVE,16,IVE (아이브),2022.11.20,48,2022
Merry Christmas (Deluxe Anniversary Edition),2022.12.03,All I Want For Christmas Is You,7,Mariah Carey,2022.11.27,49,2022
쇼미더머니 11 Episode 3,2022.12.17,NOT SORRY (Feat. pH-1) (Prod. by Slom),4,이영지,2022.12.11,51,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2022.12.24,사건의 지평선,2,윤하,2022.12.18,52,2022
5.3,2022.10.29,그라데이션,46,10cm,2022.10.23,44,2022
FEARLESS,2022.11.05,FEARLESS,38,LE SSERAFIM (르세라핌),2022.10.30,45,2022
Pink Venom,2022.11.12,Pink Venom,30,BLACKPINK,2022.11.06,46,2022
MOVE AGAIN,2022.11.19,WHEN I MOVE,22,카라 (KARA),2022.11.13,47,2022
쇼미더머니 11 Episode 1,2022.12.10,마이웨이 (MY WAY) (Prod. R.Tee),9,"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los",2022.12.04,50,2022
쇼미더머니 11 Episode 3,2022.11.26,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",17,던말릭 (Don Malik),2022.11.20,48,2022
After LIKE,2022.12.03,After LIKE,8,IVE (아이브),2022.11.27,49,2022
NewJeans 1st EP `New Jeans`,2022.12.17,Hype boy,5,NewJeans,2022.12.11,51,2022
Candy - Winter Special Mini Album,2022.12.24,Candy,3,NCT DREAM,2022.12.18,52,2022
NewJeans `OMG`,2022.12.31,Ditto,1,NewJeans,2022.12.25,53,2022
다정히 내 이름을 부르면 (경서예지 x 전건호),2022.10.29,다정히 내 이름을 부르면,47,"경서예지, 전건호",2022.10.23,44,2022
나의 X에게,2022.11.05,나의 X에게,39,경서,2022.10.30,45,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.11.12,사랑인가 봐,31,멜로망스(Melomance),2022.11.06,46,2022
쇼미더머니 11 Episode 3,2022.11.19,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",23,던말릭 (Don Malik),2022.11.13,47,2022
I love,2022.12.10,Nxde,10,(여자)아이들,2022.12.04,50,2022
BORN PINK,2022.11.26,Shut Down,18,BLACKPINK,2022.11.20,48,2022
쇼미더머니 11 Episode 1,2022.12.03,마이웨이 (MY WAY) (Prod. R.Tee),9,"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los",2022.11.27,49,2022
ANTIFRAGILE,2022.12.17,ANTIFRAGILE,6,LE SSERAFIM (르세라핌),2022.12.11,51,2022
Candy - Winter Special Mini Album,2022.12.24,Candy,4,NCT DREAM,2022.12.18,52,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2022.12.31,사건의 지평선,2,윤하,2022.12.25,53,2022
쇼미더머니 11 Episode 1,2022.10.29,위하여 (We Higher) (Prod. GroovyRoom),48,"그루비룸 (GroovyRoom), 릴보이 (lIlBOI), Blase (블라세), 노윤하, Polodared, Chillin Homie, Fleeky Bang",2022.10.23,44,2022
FIVE SENSES,2022.11.05,자격지심 (Feat. ZICO),40,BE`O (비오),2022.10.30,45,2022
Santa Tell Me,2022.11.12,Santa Tell Me,32,Ariana Grande,2022.11.06,46,2022
신사와 아가씨 OST Part.2,2022.11.19,사랑은 늘 도망가,24,임영웅,2022.11.13,47,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.12.10,새삥 (Prod. ZICO) (Feat. 호미들),11,지코 (ZICO),2022.12.04,50,2022
Rush Hour,2022.11.26,Rush Hour (Feat. j-hope of BTS),19,크러쉬 (CRUSH),2022.11.20,48,2022
I love,2022.12.03,Nxde,10,(여자)아이들,2022.11.27,49,2022
After LIKE,2022.12.17,After LIKE,7,IVE (아이브),2022.12.11,51,2022
쇼미더머니 11 Episode 3,2022.12.24,NOT SORRY (Feat. pH-1) (Prod. by Slom),5,이영지,2022.12.18,52,2022
NewJeans 1st EP `New Jeans`,2022.12.31,Hype boy,3,NewJeans,2022.12.25,53,2022
나얼 ＜Ballad Pop City＞,2022.10.29,아픈 나를,49,성시경,2022.10.23,44,2022
내가 아니라도,2022.11.05,내가 아니라도,41,주호,2022.10.30,45,2022
WSG워너비 1집,2022.11.12,그때 그 순간 그대로 (그그그),33,WSG워너비 (가야G),2022.11.06,46,2022
NewJeans 1st EP `New Jeans`,2022.11.19,Cookie,25,NewJeans,2022.11.13,47,2022
LOVE DIVE,2022.12.10,LOVE DIVE,12,IVE (아이브),2022.12.04,50,2022
쇼미더머니 11 Semi Final,2022.11.26,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",20,허성현 (Huh),2022.11.20,48,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.12.03,새삥 (Prod. ZICO) (Feat. 호미들),11,지코 (ZICO),2022.11.27,49,2022
NewJeans 1st EP `New Jeans`,2022.12.17,Attention,8,NewJeans,2022.12.11,51,2022
ANTIFRAGILE,2022.12.24,ANTIFRAGILE,6,LE SSERAFIM (르세라핌),2022.12.18,52,2022
Candy - Winter Special Mini Album,2022.12.31,Candy,4,NCT DREAM,2022.12.25,53,2022
첫사랑,2022.10.29,첫사랑,50,백아,2022.10.23,44,2022
취중고백,2022.11.05,취중고백,42,김민석,2022.10.30,45,2022
I NEVER DIE,2022.11.12,TOMBOY,34,(여자)아이들,2022.11.06,46,2022
Polaroid,2022.11.19,Polaroid,26,임영웅,2022.11.13,47,2022
Monologue,2022.12.10,Monologue,13,테이 (Tei),2022.12.04,50,2022
Polaroid,2022.11.26,London Boy,21,임영웅,2022.11.20,48,2022
LOVE DIVE,2022.12.03,LOVE DIVE,12,IVE (아이브),2022.11.27,49,2022
쇼미더머니 11 Episode 1,2022.12.17,마이웨이 (MY WAY) (Prod. R.Tee),9,"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los",2022.12.11,51,2022
After LIKE,2022.12.24,After LIKE,7,IVE (아이브),2022.12.18,52,2022
쇼미더머니 11 Episode 3,2022.12.31,NOT SORRY (Feat. pH-1) (Prod. by Slom),5,이영지,2022.12.25,53,2022
WSG워너비 1집,2022.07.23,그때 그 순간 그대로 (그그그),1,WSG워너비 (가야G),2022.07.17,30,2022
Dynamite,2022.10.29,Dynamite,51,방탄소년단,2022.10.23,44,2022
That`s Hilarious,2022.11.05,That`s Hilarious,43,Charlie Puth,2022.10.30,45,2022
Stay,2022.11.12,Stay,35,"The Kid LAROI, Justin Bieber",2022.11.06,46,2022
신호등,2022.11.19,신호등,27,이무진,2022.11.13,47,2022
IM HERO,2022.12.10,다시 만날 수 있을까,14,임영웅,2022.12.04,50,2022
취중고백,2022.11.26,취중고백,22,김민석,2022.11.20,48,2022
WSG워너비 1집,2022.12.03,Clink Clink (클링 클링),13,WSG워너비 (오아시소),2022.11.27,49,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.12.17,사랑인가 봐,10,멜로망스(Melomance),2022.12.11,51,2022
싸다9,2022.12.24,That That (prod. & feat. SUGA of BTS),8,싸이 (Psy),2022.12.18,52,2022
정이라고 하자,2022.12.31,정이라고 하자 (Feat. 10CM),6,BIG Naughty (서동현),2022.12.25,53,2022
WSG워너비 1집,2022.07.23,보고싶었어,2,WSG워너비 (4FIRE),2022.07.17,30,2022
너를 생각해,2022.10.29,너를 생각해,52,주시크 (Joosiq),2022.10.23,44,2022
별에서 온 그대 OST Part 7,2022.11.05,너의 모든 순간,44,성시경,2022.10.30,45,2022
Proof,2022.11.12,Yet To Come,36,방탄소년단,2022.11.06,46,2022
ELEVEN,2022.11.19,ELEVEN,28,IVE (아이브),2022.11.13,47,2022
5.3,2022.12.10,그라데이션,15,10cm,2022.12.04,50,2022
열이올라요 (Heart Burn),2022.11.26,열이올라요 (Heart Burn),23,선미,2022.11.20,48,2022
IM HERO,2022.12.03,다시 만날 수 있을까,14,임영웅,2022.11.27,49,2022
Girls - The 2nd Mini Album,2022.12.17,Girls,11,aespa,2022.12.11,51,2022
나의 X에게,2022.12.24,나의 X에게,9,경서,2022.12.18,52,2022
I NEVER DIE,2022.12.31,TOMBOY,7,(여자)아이들,2022.12.25,53,2022
LOVE DIVE,2022.07.23,LOVE DIVE,3,IVE (아이브),2022.07.17,30,2022
WSG워너비 1집,2022.07.30,그때 그 순간 그대로 (그그그),1,WSG워너비 (가야G),2022.07.24,31,2022
조각집,2022.10.29,드라마,53,아이유 (IU),2022.10.23,44,2022
Bare&Rare Pt.1,2022.11.05,Sparkling,45,청하,2022.10.30,45,2022
Next Level,2022.11.12,Next Level,37,aespa,2022.11.06,46,2022
신호등,2022.11.19,신호등,29,이무진,2022.11.13,47,2022
Seoul,2022.12.10,Love story,16,볼빨간사춘기,2022.12.04,50,2022
신사와 아가씨 OST Part.2,2022.11.26,사랑은 늘 도망가,24,임영웅,2022.11.20,48,2022
WSG워너비 1집,2022.12.03,Clink Clink (클링 클링),15,WSG워너비 (오아시소),2022.11.27,49,2022
5.3,2022.12.17,그라데이션,12,10cm,2022.12.11,51,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.12.24,사랑인가 봐,10,멜로망스(Melomance),2022.12.18,52,2022
나의 X에게,2022.12.31,나의 X에게,8,경서,2022.12.25,53,2022
IM NAYEON,2022.07.23,POP!,4,나연 (TWICE),2022.07.17,30,2022
WSG워너비 1집,2022.07.30,보고싶었어,2,WSG워너비 (4FIRE),2022.07.24,31,2022
WSG워너비 1집,2022.08.06,그때 그 순간 그대로 (그그그),1,WSG워너비 (가야G),2022.07.31,32,2022
WSG워너비 1집,2022.08.06,보고싶었어,2,WSG워너비 (4FIRE),2022.07.31,32,2022
LOVE DIVE,2022.08.06,LOVE DIVE,3,IVE (아이브),2022.07.31,32,2022
IM NAYEON,2022.08.06,POP!,4,나연 (TWICE),2022.07.31,32,2022
NewJeans 1st EP `New Jeans`,2022.08.20,Attention,1,NewJeans,2022.08.14,34,2022
WSG워너비 1집,2022.08.06,보고싶었어,5,WSG워너비 (4FIRE),2022.07.31,32,2022
WSG워너비 1집,2022.08.20,그때 그 순간 그대로 (그그그),2,WSG워너비 (가야G),2022.08.14,34,2022
눈이 오잖아,2022.08.06,눈이 오잖아 (Feat.헤이즈),6,이무진,2022.07.31,32,2022
쇼미더머니 10 Episode 3,2022.08.20,리무진 (Feat. MINO) (Prod. GRAY),3,BE`O (비오),2022.08.14,34,2022
신사와 아가씨 OST Part.2,2022.08.06,사랑은 늘 도망가,7,임영웅,2022.07.31,32,2022
쇼미더머니 10 Episode 3,2022.08.20,리무진 (Feat. MINO) (Prod. GRAY),4,BE`O (비오),2022.08.14,34,2022
조각집,2022.08.06,드라마,8,아이유 (IU),2022.07.31,32,2022
ELEVEN,2022.08.20,ELEVEN,5,IVE (아이브),2022.08.14,34,2022
Can`t Control Myself,2022.08.06,Can`t Control Myself,9,태연 (TAEYEON),2022.07.31,32,2022
