album,end_date,music,rank,singer,start_date,week_num,year
Girls - The 2nd Mini Album,2022.08.06,Girls,17,aespa,2022.07.31,32,2022
정이라고 하자,2022.08.13,정이라고 하자 (Feat. 10CM),9,BIG Naughty (서동현),2022.08.07,33,2022
WSG워너비 1집,2022.08.20,그때 그 순간 그대로 (그그그),2,WSG워너비 (가야G),2022.08.14,34,2022
THE BOYZ 7TH MINI ALBUM [BE AWARE],2022.08.06,WHISPER,18,더보이즈(THE BOYZ),2022.07.31,32,2022
나의 X에게,2022.08.13,나의 X에게,10,경서,2022.08.07,33,2022
NewJeans 1st EP `New Jeans`,2022.08.20,Hype boy,3,NewJeans,2022.08.14,34,2022
IM HERO,2022.08.06,우리들의 블루스,19,임영웅,2022.07.31,32,2022
싸다9,2022.08.13,That That (prod. & feat. SUGA of BTS),11,싸이 (Psy),2022.08.07,33,2022
LOVE DIVE,2022.08.20,LOVE DIVE,4,IVE (아이브),2022.08.14,34,2022
FEARLESS,2022.08.06,FEARLESS,20,LE SSERAFIM (르세라핌),2022.07.31,32,2022
I NEVER DIE,2022.08.13,TOMBOY,12,(여자)아이들,2022.08.07,33,2022
WSG워너비 1집,2022.08.20,보고싶었어,5,WSG워너비 (4FIRE),2022.08.14,34,2022
Seoul,2022.08.06,Love story,21,볼빨간사춘기,2022.07.31,32,2022
5.3,2022.08.13,그라데이션,13,10cm,2022.08.07,33,2022
CHECKMATE,2022.08.20,SNEAKERS,6,ITZY (있지),2022.08.14,34,2022
Pink Venom,2022.08.06,Pink Venom,22,BLACKPINK,2022.07.31,32,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.08.13,사랑인가 봐,14,멜로망스(Melomance),2022.08.07,33,2022
FOREVER 1 - The 7th Album,2022.08.20,FOREVER 1,7,소녀시대,2022.08.14,34,2022
내가 아니라도,2022.08.06,내가 아니라도,23,주호,2022.07.31,32,2022
NewJeans 1st EP `New Jeans`,2022.08.13,Cookie,15,NewJeans,2022.08.07,33,2022
IM NAYEON,2022.08.20,POP!,8,나연 (TWICE),2022.08.14,34,2022
NewJeans 1st EP `New Jeans`,2022.08.27,Attention,1,NewJeans,2022.08.21,35,2022
LOVE me,2022.08.06,LOVE me,24,BE`O (비오),2022.07.31,32,2022
싸다9,2022.08.13,That That (prod. & feat. SUGA of BTS),16,싸이 (Psy),2022.08.07,33,2022
CHECKMATE,2022.08.20,SNEAKERS,9,ITZY (있지),2022.08.14,34,2022
After LIKE,2022.09.03,After LIKE,1,IVE (아이브),2022.08.28,36,2022
NewJeans 1st EP `New Jeans`,2022.08.27,Attention,2,NewJeans,2022.08.21,35,2022
신사와 아가씨 OST Part.2,2022.08.06,사랑은 늘 도망가,25,임영웅,2022.07.31,32,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.08.13,사랑인가 봐,17,멜로망스(Melomance),2022.08.07,33,2022
NewJeans 1st EP `New Jeans`,2022.08.20,Cookie,10,NewJeans,2022.08.14,34,2022
NewJeans 1st EP `New Jeans`,2022.09.03,Attention,2,NewJeans,2022.08.28,36,2022
Pink Venom,2022.08.27,Pink Venom,3,BLACKPINK,2022.08.21,35,2022
LOVE me,2022.08.06,LOVE me,26,BE`O (비오),2022.07.31,32,2022
싸다9,2022.08.13,That That (prod. & feat. SUGA of BTS),18,싸이 (Psy),2022.08.07,33,2022
IM NAYEON,2022.08.20,POP!,11,나연 (TWICE),2022.08.14,34,2022
Pink Venom,2022.09.03,Pink Venom,3,BLACKPINK,2022.08.28,36,2022
NewJeans 1st EP `New Jeans`,2022.08.27,Hype boy,4,NewJeans,2022.08.21,35,2022
취중고백,2022.08.06,취중고백,27,김민석,2022.07.31,32,2022
FEARLESS,2022.08.13,FEARLESS,19,LE SSERAFIM (르세라핌),2022.08.07,33,2022
5.3,2022.08.20,그라데이션,12,10cm,2022.08.14,34,2022
NewJeans 1st EP `New Jeans`,2022.09.03,Hype boy,4,NewJeans,2022.08.28,36,2022
FOREVER 1 - The 7th Album,2022.08.27,FOREVER 1,5,소녀시대,2022.08.21,35,2022
That`s Hilarious,2022.08.06,That`s Hilarious,28,Charlie Puth,2022.07.31,32,2022
Girls - The 2nd Mini Album,2022.08.13,Girls,20,aespa,2022.08.07,33,2022
정이라고 하자,2022.08.20,정이라고 하자 (Feat. 10CM),13,BIG Naughty (서동현),2022.08.14,34,2022
FOREVER 1 - The 7th Album,2022.09.03,FOREVER 1,5,소녀시대,2022.08.28,36,2022
WSG워너비 1집,2022.08.27,그때 그 순간 그대로 (그그그),6,WSG워너비 (가야G),2022.08.21,35,2022
사랑한다고 말해줘,2022.08.06,사랑한다고 말해줘,29,탑현,2022.07.31,32,2022
BETWEEN 1&2,2022.08.13,Talk that Talk,21,TWICE,2022.08.07,33,2022
나의 X에게,2022.08.20,나의 X에게,14,경서,2022.08.14,34,2022
WSG워너비 1집,2022.09.03,그때 그 순간 그대로 (그그그),6,WSG워너비 (가야G),2022.08.28,36,2022
LOVE DIVE,2022.08.27,LOVE DIVE,7,IVE (아이브),2022.08.21,35,2022
PROTOTYPE RESEARCH #0063,2022.08.06,내 기쁨은 너가 벤틀리를 끄는 거야,30,김승민,2022.07.31,32,2022
Seoul,2022.08.13,Love story,22,볼빨간사춘기,2022.08.07,33,2022
Girls - The 2nd Mini Album,2022.08.20,도깨비불 (Illusion),15,aespa,2022.08.14,34,2022
LOVE DIVE,2022.09.03,LOVE DIVE,7,IVE (아이브),2022.08.28,36,2022
WSG워너비 1집,2022.08.27,보고싶었어,8,WSG워너비 (4FIRE),2022.08.21,35,2022
해요 (2022),2022.08.06,해요 (2022),31,#안녕,2022.07.31,32,2022
ELEVEN,2022.08.13,ELEVEN,23,IVE (아이브),2022.08.07,33,2022
I NEVER DIE,2022.08.20,TOMBOY,16,(여자)아이들,2022.08.14,34,2022
WSG워너비 1집,2022.09.03,보고싶었어,8,WSG워너비 (4FIRE),2022.08.28,36,2022
After LIKE,2022.09.10,After LIKE,1,IVE (아이브),2022.09.04,37,2022
CHECKMATE,2022.08.27,SNEAKERS,9,ITZY (있지),2022.08.21,35,2022
사랑한다고 말해줘,2022.08.06,사랑한다고 말해줘,32,탑현,2022.07.31,32,2022
내가 아니라도,2022.08.13,내가 아니라도,24,주호,2022.08.07,33,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.08.20,사랑인가 봐,17,멜로망스(Melomance),2022.08.14,34,2022
CHECKMATE,2022.09.03,SNEAKERS,9,ITZY (있지),2022.08.28,36,2022
NewJeans 1st EP `New Jeans`,2022.09.10,Attention,2,NewJeans,2022.09.04,37,2022
NewJeans 1st EP `New Jeans`,2022.08.27,Cookie,10,NewJeans,2022.08.21,35,2022
After LIKE,2022.09.17,After LIKE,1,IVE (아이브),2022.09.11,38,2022
해요 (2022),2022.08.06,해요 (2022),33,#안녕,2022.07.31,32,2022
내가 아니라도,2022.08.13,내가 아니라도,25,주호,2022.08.07,33,2022
질주 (2 Baddies) - The 4th Album,2022.08.20,질주 (2 Baddies),18,NCT 127,2022.08.14,34,2022
WSG워너비 1집,2022.09.03,보고싶었어,10,WSG워너비 (4FIRE),2022.08.28,36,2022
Pink Venom,2022.09.10,Pink Venom,3,BLACKPINK,2022.09.04,37,2022
CHECKMATE,2022.08.27,SNEAKERS,11,ITZY (있지),2022.08.21,35,2022
NewJeans 1st EP `New Jeans`,2022.09.17,Attention,2,NewJeans,2022.09.11,38,2022
LOVE me,2022.08.06,LOVE me,34,BE`O (비오),2022.07.31,32,2022
신사와 아가씨 OST Part.2,2022.08.13,사랑은 늘 도망가,26,임영웅,2022.08.07,33,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.08.20,사랑인가 봐,19,멜로망스(Melomance),2022.08.14,34,2022
CHECKMATE,2022.09.03,SNEAKERS,11,ITZY (있지),2022.08.28,36,2022
NewJeans 1st EP `New Jeans`,2022.09.10,Hype boy,4,NewJeans,2022.09.04,37,2022
5.3,2022.08.27,그라데이션,12,10cm,2022.08.21,35,2022
Pink Venom,2022.09.17,Pink Venom,3,BLACKPINK,2022.09.11,38,2022
취중고백,2022.08.06,취중고백,35,김민석,2022.07.31,32,2022
IM HERO,2022.08.13,우리들의 블루스,27,임영웅,2022.08.07,33,2022
FEARLESS,2022.08.20,FEARLESS,20,LE SSERAFIM (르세라핌),2022.08.14,34,2022
5.3,2022.09.03,그라데이션,12,10cm,2022.08.28,36,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.09.10,새삥 (Prod. ZICO) (Feat. 호미들),5,지코 (ZICO),2022.09.04,37,2022
나의 X에게,2022.08.27,나의 X에게,13,경서,2022.08.21,35,2022
NewJeans 1st EP `New Jeans`,2022.09.17,Hype boy,4,NewJeans,2022.09.11,38,2022
IM HERO,2022.08.06,다시 만날 수 있을까,36,임영웅,2022.07.31,32,2022
PROTOTYPE RESEARCH #0063,2022.08.13,내 기쁨은 너가 벤틀리를 끄는 거야,28,김승민,2022.08.07,33,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.08.20,LAW (Prod. Czaer),21,"윤미래, 비비(BIBI)",2022.08.14,34,2022
나의 X에게,2022.09.03,나의 X에게,13,경서,2022.08.28,36,2022
FOREVER 1 - The 7th Album,2022.09.10,FOREVER 1,6,소녀시대,2022.09.04,37,2022
정이라고 하자,2022.08.27,정이라고 하자 (Feat. 10CM),14,BIG Naughty (서동현),2022.08.21,35,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.09.17,새삥 (Prod. ZICO) (Feat. 호미들),5,지코 (ZICO),2022.09.11,38,2022
별에서 온 그대 OST Part 7,2022.08.06,너의 모든 순간,37,성시경,2022.07.31,32,2022
BORN PINK,2022.08.13,Shut Down,29,BLACKPINK,2022.08.07,33,2022
싸다9,2022.08.20,That That (prod. & feat. SUGA of BTS),22,싸이 (Psy),2022.08.14,34,2022
정이라고 하자,2022.09.03,정이라고 하자 (Feat. 10CM),14,BIG Naughty (서동현),2022.08.28,36,2022
LOVE DIVE,2022.09.10,LOVE DIVE,7,IVE (아이브),2022.09.04,37,2022
Girls - The 2nd Mini Album,2022.08.27,도깨비불 (Illusion),15,aespa,2022.08.21,35,2022
FOREVER 1 - The 7th Album,2022.09.17,FOREVER 1,6,소녀시대,2022.09.11,38,2022
After LIKE,2022.09.24,After LIKE,1,IVE (아이브),2022.09.18,39,2022
별에서 온 그대 OST Part 7,2022.08.06,너의 모든 순간,38,성시경,2022.07.31,32,2022
BETWEEN 1&2,2022.08.13,Talk that Talk,30,TWICE,2022.08.07,33,2022
IM NAYEON,2022.08.20,POP!,23,나연 (TWICE),2022.08.14,34,2022
5.3,2022.09.03,그라데이션,15,10cm,2022.08.28,36,2022
질주 (2 Baddies) - The 4th Album,2022.09.10,질주 (2 Baddies),8,NCT 127,2022.09.04,37,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.08.27,LAW (Prod. Czaer),16,"윤미래, 비비(BIBI)",2022.08.21,35,2022
LOVE DIVE,2022.09.17,LOVE DIVE,7,IVE (아이브),2022.09.11,38,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.09.24,새삥 (Prod. ZICO) (Feat. 호미들),2,지코 (ZICO),2022.09.18,39,2022
Girls - The 2nd Mini Album,2022.08.06,Girls,39,aespa,2022.07.31,32,2022
PROTOTYPE RESEARCH #0063,2022.08.13,내 기쁨은 너가 벤틀리를 끄는 거야,31,김승민,2022.08.07,33,2022
FEARLESS,2022.08.20,FEARLESS,24,LE SSERAFIM (르세라핌),2022.08.14,34,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.09.03,LAW (Prod. Czaer),16,"윤미래, 비비(BIBI)",2022.08.28,36,2022
FOREVER 1 - The 7th Album,2022.09.10,FOREVER 1,9,소녀시대,2022.09.04,37,2022
IM HERO,2022.08.27,다시 만날 수 있을까,17,임영웅,2022.08.21,35,2022
질주 (2 Baddies) - The 4th Album,2022.09.17,질주 (2 Baddies),8,NCT 127,2022.09.11,38,2022
BORN PINK,2022.09.24,Shut Down,3,BLACKPINK,2022.09.18,39,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.10.01,새삥 (Prod. ZICO) (Feat. 호미들),1,지코 (ZICO),2022.09.25,40,2022
Seoul,2022.08.06,Love story,40,볼빨간사춘기,2022.07.31,32,2022
That`s Hilarious,2022.08.13,That`s Hilarious,32,Charlie Puth,2022.08.07,33,2022
FEARLESS,2022.08.20,FEARLESS,25,LE SSERAFIM (르세라핌),2022.08.14,34,2022
CHECKMATE,2022.09.03,SNEAKERS,17,ITZY (있지),2022.08.28,36,2022
FOREVER 1 - The 7th Album,2022.09.10,FOREVER 1,10,소녀시대,2022.09.04,37,2022
IM HERO,2022.08.27,우리들의 블루스,18,임영웅,2022.08.21,35,2022
WSG워너비 1집,2022.09.17,그때 그 순간 그대로 (그그그),9,WSG워너비 (가야G),2022.09.11,38,2022
NewJeans 1st EP `New Jeans`,2022.09.24,Attention,4,NewJeans,2022.09.18,39,2022
After LIKE,2022.10.01,After LIKE,2,IVE (아이브),2022.09.25,40,2022
BETWEEN 1&2,2022.08.06,Talk that Talk,41,TWICE,2022.07.31,32,2022
싸다9,2022.08.13,That That (prod. & feat. SUGA of BTS),33,싸이 (Psy),2022.08.07,33,2022
내가 아니라도,2022.08.20,내가 아니라도,26,주호,2022.08.14,34,2022
IM HERO,2022.09.03,우리들의 블루스,18,임영웅,2022.08.28,36,2022
NewJeans 1st EP `New Jeans`,2022.09.10,Cookie,11,NewJeans,2022.09.04,37,2022
정이라고 하자,2022.08.27,정이라고 하자 (Feat. 10CM),19,BIG Naughty (서동현),2022.08.21,35,2022
FOREVER 1 - The 7th Album,2022.09.17,FOREVER 1,10,소녀시대,2022.09.11,38,2022
NewJeans 1st EP `New Jeans`,2022.09.24,Hype boy,5,NewJeans,2022.09.18,39,2022
BORN PINK,2022.10.01,Shut Down,3,BLACKPINK,2022.09.25,40,2022
다정히 내 이름을 부르면 (경서예지 x 전건호),2022.08.06,다정히 내 이름을 부르면,42,"경서예지, 전건호",2022.07.31,32,2022
PROTOTYPE RESEARCH #0063,2022.08.13,내 기쁨은 너가 벤틀리를 끄는 거야,34,김승민,2022.08.07,33,2022
Girls - The 2nd Mini Album,2022.08.20,도깨비불 (Illusion),27,aespa,2022.08.14,34,2022
정이라고 하자,2022.09.03,정이라고 하자 (Feat. 10CM),19,BIG Naughty (서동현),2022.08.28,36,2022
Rush Hour,2022.09.10,Rush Hour (Feat. j-hope of BTS),12,크러쉬 (CRUSH),2022.09.04,37,2022
나의 X에게,2022.08.27,나의 X에게,20,경서,2022.08.21,35,2022
NewJeans 1st EP `New Jeans`,2022.09.17,Cookie,11,NewJeans,2022.09.11,38,2022
Pink Venom,2022.09.24,Pink Venom,6,BLACKPINK,2022.09.18,39,2022
NewJeans 1st EP `New Jeans`,2022.10.01,Attention,4,NewJeans,2022.09.25,40,2022
Girls - The 2nd Mini Album,2022.08.06,Girls,43,aespa,2022.07.31,32,2022
해요 (2022),2022.08.13,해요 (2022),35,#안녕,2022.08.07,33,2022
ELEVEN,2022.08.20,ELEVEN,28,IVE (아이브),2022.08.14,34,2022
나의 X에게,2022.09.03,나의 X에게,20,경서,2022.08.28,36,2022
5.3,2022.09.10,그라데이션,13,10cm,2022.09.04,37,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.08.27,사랑인가 봐,21,멜로망스(Melomance),2022.08.21,35,2022
Rush Hour,2022.09.17,Rush Hour (Feat. j-hope of BTS),12,크러쉬 (CRUSH),2022.09.11,38,2022
LOVE DIVE,2022.09.24,LOVE DIVE,7,IVE (아이브),2022.09.18,39,2022
NewJeans 1st EP `New Jeans`,2022.10.01,Hype boy,5,NewJeans,2022.09.25,40,2022
사랑한다고 말해줘,2022.08.06,사랑한다고 말해줘,44,탑현,2022.07.31,32,2022
IM HERO,2022.08.13,무지개,36,임영웅,2022.08.07,33,2022
신사와 아가씨 OST Part.2,2022.08.20,사랑은 늘 도망가,29,임영웅,2022.08.14,34,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.09.03,사랑인가 봐,21,멜로망스(Melomance),2022.08.28,36,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.09.10,LAW (Prod. Czaer),14,"윤미래, 비비(BIBI)",2022.09.04,37,2022
I NEVER DIE,2022.08.27,TOMBOY,22,(여자)아이들,2022.08.21,35,2022
5.3,2022.09.17,그라데이션,13,10cm,2022.09.11,38,2022
딱 10CM만,2022.09.24,딱 10CM만,8,"10cm, BIG Naughty (서동현)",2022.09.18,39,2022
Pink Venom,2022.10.01,Pink Venom,6,BLACKPINK,2022.09.25,40,2022
Stay,2022.08.06,Stay,45,"The Kid LAROI, Justin Bieber",2022.07.31,32,2022
취중고백,2022.08.13,취중고백,37,김민석,2022.08.07,33,2022
IM NAYEON,2022.08.20,POP!,30,나연 (TWICE),2022.08.14,34,2022
I NEVER DIE,2022.09.03,TOMBOY,22,(여자)아이들,2022.08.28,36,2022
우린 그렇게 사랑해서,2022.09.10,우린 그렇게 사랑해서,15,"강민경, 잔나비",2022.09.04,37,2022
Monologue,2022.08.27,Monologue,23,테이 (Tei),2022.08.21,35,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.09.17,LAW (Prod. Czaer),14,"윤미래, 비비(BIBI)",2022.09.11,38,2022
WSG워너비 1집,2022.09.24,그때 그 순간 그대로 (그그그),9,WSG워너비 (가야G),2022.09.18,39,2022
LOVE DIVE,2022.10.01,LOVE DIVE,7,IVE (아이브),2022.09.25,40,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.10.15,새삥 (Prod. ZICO) (Feat. 호미들),1,지코 (ZICO),2022.10.09,42,2022
사랑한다고 말해줘,2022.08.06,사랑한다고 말해줘,46,탑현,2022.07.31,32,2022
취중고백,2022.08.13,취중고백,38,김민석,2022.08.07,33,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2022.08.20,사건의 지평선,31,윤하,2022.08.14,34,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.09.03,사랑인가 봐,23,멜로망스(Melomance),2022.08.28,36,2022
FOREVER 1 - The 7th Album,2022.09.10,FOREVER 1,16,소녀시대,2022.09.04,37,2022
내가 아니라도,2022.08.27,내가 아니라도,24,주호,2022.08.21,35,2022
NewJeans 1st EP `New Jeans`,2022.09.17,Cookie,15,NewJeans,2022.09.11,38,2022
Monologue,2022.09.24,Monologue,10,테이 (Tei),2022.09.18,39,2022
딱 10CM만,2022.10.01,딱 10CM만,8,"10cm, BIG Naughty (서동현)",2022.09.25,40,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.10.08,새삥 (Prod. ZICO) (Feat. 호미들),1,지코 (ZICO),2022.10.02,41,2022
After LIKE,2022.10.15,After LIKE,2,IVE (아이브),2022.10.09,42,2022
사랑한다고 말해줘,2022.08.06,사랑한다고 말해줘,47,탑현,2022.07.31,32,2022
LOVE me,2022.08.13,LOVE me,39,BE`O (비오),2022.08.07,33,2022
Girls - The 2nd Mini Album,2022.08.20,도깨비불 (Illusion),32,aespa,2022.08.14,34,2022
IM HERO,2022.09.03,다시 만날 수 있을까,24,임영웅,2022.08.28,36,2022
WSG워너비 1집,2022.09.10,보고싶었어,17,WSG워너비 (4FIRE),2022.09.04,37,2022
I NEVER DIE,2022.08.27,TOMBOY,25,(여자)아이들,2022.08.21,35,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.09.17,LAW (Prod. Czaer),16,"윤미래, 비비(BIBI)",2022.09.11,38,2022
FOREVER 1 - The 7th Album,2022.09.24,FOREVER 1,11,소녀시대,2022.09.18,39,2022
LOVE DIVE,2022.10.01,LOVE DIVE,9,IVE (아이브),2022.09.25,40,2022
After LIKE,2022.10.08,After LIKE,2,IVE (아이브),2022.10.02,41,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.10.22,새삥 (Prod. ZICO) (Feat. 호미들),1,지코 (ZICO),2022.10.16,43,2022
After LIKE,2022.10.15,After LIKE,3,IVE (아이브),2022.10.09,42,2022
스티커 사진,2022.08.06,스티커 사진,48,21학번,2022.07.31,32,2022
LOVE me,2022.08.13,LOVE me,40,BE`O (비오),2022.08.07,33,2022
ELEVEN,2022.08.20,ELEVEN,33,IVE (아이브),2022.08.14,34,2022
FEARLESS,2022.09.03,FEARLESS,25,LE SSERAFIM (르세라핌),2022.08.28,36,2022
NewJeans 1st EP `New Jeans`,2022.09.10,Cookie,18,NewJeans,2022.09.04,37,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.08.27,LAW (Prod. Czaer),26,"윤미래, 비비(BIBI)",2022.08.21,35,2022
5.3,2022.09.17,그라데이션,17,10cm,2022.09.11,38,2022
LOVE DIVE,2022.09.24,LOVE DIVE,12,IVE (아이브),2022.09.18,39,2022
Pink Venom,2022.10.01,Pink Venom,10,BLACKPINK,2022.09.25,40,2022
After LIKE,2022.10.08,After LIKE,3,IVE (아이브),2022.10.02,41,2022
I love,2022.10.22,Nxde,2,(여자)아이들,2022.10.16,43,2022
NewJeans 1st EP `New Jeans`,2022.10.15,Hype boy,4,NewJeans,2022.10.09,42,2022
`키스 먼저 할까요?` OST Part 3,2022.08.06,"모든 날, 모든 순간 (Every day, Every Moment)",49,폴킴,2022.07.31,32,2022
다정히 내 이름을 부르면 (경서예지 x 전건호),2022.08.13,다정히 내 이름을 부르면,41,"경서예지, 전건호",2022.08.07,33,2022
IM HERO,2022.08.20,다시 만날 수 있을까,34,임영웅,2022.08.14,34,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.09.03,LAW (Prod. Czaer),26,"윤미래, 비비(BIBI)",2022.08.28,36,2022
FOREVER 1 - The 7th Album,2022.09.10,FOREVER 1,19,소녀시대,2022.09.04,37,2022
해요 (2022),2022.08.27,해요 (2022),27,#안녕,2022.08.21,35,2022
NewJeans 1st EP `New Jeans`,2022.09.17,Cookie,18,NewJeans,2022.09.11,38,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2022.09.24,사건의 지평선,13,윤하,2022.09.18,39,2022
딱 10CM만,2022.10.01,딱 10CM만,11,"10cm, BIG Naughty (서동현)",2022.09.25,40,2022
NewJeans 1st EP `New Jeans`,2022.10.08,Hype boy,4,NewJeans,2022.10.02,41,2022
After LIKE,2022.10.22,After LIKE,3,IVE (아이브),2022.10.16,43,2022
Rush Hour,2022.10.15,Rush Hour (Feat. j-hope of BTS),5,크러쉬 (CRUSH),2022.10.09,42,2022
사랑한다고 말해줘,2022.08.06,사랑한다고 말해줘,50,탑현,2022.07.31,32,2022
IM NAYEON,2022.08.13,POP!,42,나연 (TWICE),2022.08.07,33,2022
별에서 온 그대 OST Part 7,2022.08.20,너의 모든 순간,35,성시경,2022.08.14,34,2022
해요 (2022),2022.09.03,해요 (2022),27,#안녕,2022.08.28,36,2022
WSG워너비 1집,2022.09.10,보고싶었어,20,WSG워너비 (4FIRE),2022.09.04,37,2022
IM HERO,2022.08.27,우리들의 블루스,28,임영웅,2022.08.21,35,2022
FOREVER 1 - The 7th Album,2022.09.17,FOREVER 1,19,소녀시대,2022.09.11,38,2022
FIVE SENSES,2022.09.24,자격지심 (Feat. ZICO),14,BE`O (비오),2022.09.18,39,2022
LOVE DIVE,2022.10.01,LOVE DIVE,12,IVE (아이브),2022.09.25,40,2022
Rush Hour,2022.10.08,Rush Hour (Feat. j-hope of BTS),5,크러쉬 (CRUSH),2022.10.02,41,2022
NewJeans 1st EP `New Jeans`,2022.10.22,Hype boy,4,NewJeans,2022.10.16,43,2022
I love,2022.10.29,Nxde,1,(여자)아이들,2022.10.23,44,2022
NewJeans 1st EP `New Jeans`,2022.10.15,Hype boy,6,NewJeans,2022.10.09,42,2022
CHARLIE,2022.08.06,I Don`t Think That I Like Her,51,Charlie Puth,2022.07.31,32,2022
Stay,2022.08.13,Stay,43,"The Kid LAROI, Justin Bieber",2022.08.07,33,2022
PROTOTYPE RESEARCH #0063,2022.08.20,내 기쁨은 너가 벤틀리를 끄는 거야,36,김승민,2022.08.14,34,2022
신사와 아가씨 OST Part.2,2022.09.03,사랑은 늘 도망가,28,임영웅,2022.08.28,36,2022
정이라고 하자,2022.09.10,정이라고 하자 (Feat. 10CM),21,BIG Naughty (서동현),2022.09.04,37,2022
That`s Hilarious,2022.08.27,That`s Hilarious,29,Charlie Puth,2022.08.21,35,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.09.17,사랑인가 봐,20,멜로망스(Melomance),2022.09.11,38,2022
WSG워너비 1집,2022.09.24,그때 그 순간 그대로 (그그그),15,WSG워너비 (가야G),2022.09.18,39,2022
딱 10CM만,2022.10.01,딱 10CM만,13,"10cm, BIG Naughty (서동현)",2022.09.25,40,2022
NewJeans 1st EP `New Jeans`,2022.10.08,Hype boy,6,NewJeans,2022.10.02,41,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2022.10.22,사건의 지평선,5,윤하,2022.10.16,43,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.10.29,새삥 (Prod. ZICO) (Feat. 호미들),2,지코 (ZICO),2022.10.23,44,2022
