album,end_date,music,rank,singer,start_date,week_num,year
FOREVER 1 - The 7th Album,2022.08.27,FOREVER 1,5,소녀시대,2022.08.21,35,2022
내가 아니라도,2022.08.13,내가 아니라도,22,주호,2022.08.07,33,2022
5.3,2022.08.20,그라데이션,14,10cm,2022.08.14,34,2022
WSG워너비 1집,2022.08.27,그때 그 순간 그대로 (그그그),6,WSG워너비 (가야G),2022.08.21,35,2022
신사와 아가씨 OST Part.2,2022.08.13,사랑은 늘 도망가,23,임영웅,2022.08.07,33,2022
I NEVER DIE,2022.08.20,TOMBOY,15,(여자)아이들,2022.08.14,34,2022
LOVE DIVE,2022.08.27,LOVE DIVE,7,IVE (아이브),2022.08.21,35,2022
LOVE me,2022.08.13,LOVE me,24,BE`O (비오),2022.08.07,33,2022
싸다9,2022.08.20,That That (prod. & feat. SUGA of BTS),16,싸이 (Psy),2022.08.14,34,2022
WSG워너비 1집,2022.08.27,보고싶었어,8,WSG워너비 (4FIRE),2022.08.21,35,2022
ELEVEN,2022.08.13,ELEVEN,25,IVE (아이브),2022.08.07,33,2022
Girls - The 2nd Mini Album,2022.08.20,도깨비불 (Illusion),17,aespa,2022.08.14,34,2022
CHECKMATE,2022.08.27,SNEAKERS,9,ITZY (있지),2022.08.21,35,2022
After LIKE,2022.09.03,After LIKE,1,IVE (아이브),2022.08.28,36,2022
LOVE me,2022.08.13,LOVE me,26,BE`O (비오),2022.08.07,33,2022
싸다9,2022.08.20,That That (prod. & feat. SUGA of BTS),18,싸이 (Psy),2022.08.14,34,2022
NewJeans 1st EP `New Jeans`,2022.08.27,Cookie,10,NewJeans,2022.08.21,35,2022
NewJeans 1st EP `New Jeans`,2022.09.03,Attention,2,NewJeans,2022.08.28,36,2022
취중고백,2022.08.13,취중고백,27,김민석,2022.08.07,33,2022
FEARLESS,2022.08.20,FEARLESS,19,LE SSERAFIM (르세라핌),2022.08.14,34,2022
IM NAYEON,2022.08.27,POP!,11,나연 (TWICE),2022.08.21,35,2022
Pink Venom,2022.09.03,Pink Venom,3,BLACKPINK,2022.08.28,36,2022
That`s Hilarious,2022.08.13,That`s Hilarious,28,Charlie Puth,2022.08.07,33,2022
Girls - The 2nd Mini Album,2022.08.20,Girls,20,aespa,2022.08.14,34,2022
5.3,2022.08.27,그라데이션,12,10cm,2022.08.21,35,2022
NewJeans 1st EP `New Jeans`,2022.09.03,Hype boy,4,NewJeans,2022.08.28,36,2022
사랑한다고 말해줘,2022.08.13,사랑한다고 말해줘,29,탑현,2022.08.07,33,2022
BETWEEN 1&2,2022.08.20,Talk that Talk,21,TWICE,2022.08.14,34,2022
정이라고 하자,2022.08.27,정이라고 하자 (Feat. 10CM),13,BIG Naughty (서동현),2022.08.21,35,2022
FOREVER 1 - The 7th Album,2022.09.03,FOREVER 1,5,소녀시대,2022.08.28,36,2022
PROTOTYPE RESEARCH #0063,2022.08.13,내 기쁨은 너가 벤틀리를 끄는 거야,30,김승민,2022.08.07,33,2022
Seoul,2022.08.20,Love story,22,볼빨간사춘기,2022.08.14,34,2022
나의 X에게,2022.08.27,나의 X에게,14,경서,2022.08.21,35,2022
WSG워너비 1집,2022.09.03,그때 그 순간 그대로 (그그그),6,WSG워너비 (가야G),2022.08.28,36,2022
해요 (2022),2022.08.13,해요 (2022),31,#안녕,2022.08.07,33,2022
ELEVEN,2022.08.20,ELEVEN,23,IVE (아이브),2022.08.14,34,2022
Girls - The 2nd Mini Album,2022.08.27,도깨비불 (Illusion),15,aespa,2022.08.21,35,2022
LOVE DIVE,2022.09.03,LOVE DIVE,7,IVE (아이브),2022.08.28,36,2022
통화연결음,2022.08.13,통화연결음,32,"보라미유, MJ (써니사이드)",2022.08.07,33,2022
내가 아니라도,2022.08.20,내가 아니라도,24,주호,2022.08.14,34,2022
I NEVER DIE,2022.08.27,TOMBOY,16,(여자)아이들,2022.08.21,35,2022
WSG워너비 1집,2022.09.03,보고싶었어,8,WSG워너비 (4FIRE),2022.08.28,36,2022
다정히 내 이름을 부르면 (경서예지 x 전건호),2022.08.13,다정히 내 이름을 부르면,33,"경서예지, 전건호",2022.08.07,33,2022
신사와 아가씨 OST Part.2,2022.08.20,사랑은 늘 도망가,25,임영웅,2022.08.14,34,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.08.27,사랑인가 봐,17,멜로망스(Melomance),2022.08.21,35,2022
CHECKMATE,2022.09.03,SNEAKERS,9,ITZY (있지),2022.08.28,36,2022
After LIKE,2022.09.10,After LIKE,1,IVE (아이브),2022.09.04,37,2022
다정히 내 이름을 부르면 (경서예지 x 전건호),2022.08.13,다정히 내 이름을 부르면,34,"경서예지, 전건호",2022.08.07,33,2022
PROTOTYPE RESEARCH #0063,2022.08.20,내 기쁨은 너가 벤틀리를 끄는 거야,26,김승민,2022.08.14,34,2022
싸다9,2022.08.27,That That (prod. & feat. SUGA of BTS),18,싸이 (Psy),2022.08.21,35,2022
NewJeans 1st EP `New Jeans`,2022.09.03,Cookie,10,NewJeans,2022.08.28,36,2022
NewJeans 1st EP `New Jeans`,2022.09.10,Attention,2,NewJeans,2022.09.04,37,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.08.13,새삥 (Prod. ZICO) (Feat. 호미들),35,지코 (ZICO),2022.08.07,33,2022
LOVE me,2022.08.20,LOVE me,27,BE`O (비오),2022.08.14,34,2022
FEARLESS,2022.08.27,FEARLESS,19,LE SSERAFIM (르세라핌),2022.08.21,35,2022
5.3,2022.09.03,그라데이션,11,10cm,2022.08.28,36,2022
Pink Venom,2022.09.10,Pink Venom,3,BLACKPINK,2022.09.04,37,2022
봄여름가을겨울 (Still Life),2022.08.13,봄여름가을겨울 (Still Life),36,BIGBANG (빅뱅),2022.08.07,33,2022
That`s Hilarious,2022.08.20,That`s Hilarious,28,Charlie Puth,2022.08.14,34,2022
BETWEEN 1&2,2022.08.27,Talk that Talk,20,TWICE,2022.08.21,35,2022
정이라고 하자,2022.09.03,정이라고 하자 (Feat. 10CM),12,BIG Naughty (서동현),2022.08.28,36,2022
NewJeans 1st EP `New Jeans`,2022.09.10,Hype boy,4,NewJeans,2022.09.04,37,2022
Stay,2022.08.13,Stay,37,"The Kid LAROI, Justin Bieber",2022.08.07,33,2022
취중고백,2022.08.20,취중고백,29,김민석,2022.08.14,34,2022
ELEVEN,2022.08.27,ELEVEN,21,IVE (아이브),2022.08.21,35,2022
나의 X에게,2022.09.03,나의 X에게,13,경서,2022.08.28,36,2022
FOREVER 1 - The 7th Album,2022.09.10,FOREVER 1,5,소녀시대,2022.09.04,37,2022
IM HERO,2022.08.13,우리들의 블루스,38,임영웅,2022.08.07,33,2022
통화연결음,2022.08.20,통화연결음,30,"보라미유, MJ (써니사이드)",2022.08.14,34,2022
Girls - The 2nd Mini Album,2022.08.27,Girls,22,aespa,2022.08.21,35,2022
Girls - The 2nd Mini Album,2022.09.03,도깨비불 (Illusion),14,aespa,2022.08.28,36,2022
LOVE DIVE,2022.09.10,LOVE DIVE,6,IVE (아이브),2022.09.04,37,2022
`The ReVe Festival 2022 - Feel My Rhythm`,2022.08.13,Feel My Rhythm,39,레드벨벳(Red Velvet),2022.08.07,33,2022
해요 (2022),2022.08.20,해요 (2022),31,#안녕,2022.08.14,34,2022
신사와 아가씨 OST Part.2,2022.08.27,사랑은 늘 도망가,23,임영웅,2022.08.21,35,2022
IM NAYEON,2022.09.03,POP!,15,나연 (TWICE),2022.08.28,36,2022
WSG워너비 1집,2022.09.10,그때 그 순간 그대로 (그그그),7,WSG워너비 (가야G),2022.09.04,37,2022
미련을 말하는,2022.08.13,새벽에 걸려온 너의 전화는,40,한동근,2022.08.07,33,2022
사랑한다고 말해줘,2022.08.20,사랑한다고 말해줘,32,탑현,2022.08.14,34,2022
내가 아니라도,2022.08.27,내가 아니라도,24,주호,2022.08.21,35,2022
I NEVER DIE,2022.09.03,TOMBOY,16,(여자)아이들,2022.08.28,36,2022
After LIKE,2022.09.17,After LIKE,1,IVE (아이브),2022.09.11,38,2022
WSG워너비 1집,2022.09.10,그때 그 순간 그대로 (그그그),8,WSG워너비 (가야G),2022.09.04,37,2022
Stay,2022.08.13,Stay,41,"The Kid LAROI, Justin Bieber",2022.08.07,33,2022
해요 (2022),2022.08.20,해요 (2022),33,#안녕,2022.08.14,34,2022
내가 아니라도,2022.08.27,내가 아니라도,25,주호,2022.08.21,35,2022
I NEVER DIE,2022.09.03,TOMBOY,17,(여자)아이들,2022.08.28,36,2022
NewJeans 1st EP `New Jeans`,2022.09.17,Attention,2,NewJeans,2022.09.11,38,2022
NewJeans 1st EP `New Jeans`,2022.09.10,Cookie,9,NewJeans,2022.09.04,37,2022
봄여름가을겨울 (Still Life),2022.08.13,봄여름가을겨울 (Still Life),42,BIGBANG (빅뱅),2022.08.07,33,2022
LOVE me,2022.08.20,LOVE me,34,BE`O (비오),2022.08.14,34,2022
신사와 아가씨 OST Part.2,2022.08.27,사랑은 늘 도망가,26,임영웅,2022.08.21,35,2022
질주 (2 Baddies) - The 4th Album,2022.09.03,질주 (2 Baddies),18,NCT 127,2022.08.28,36,2022
Pink Venom,2022.09.17,Pink Venom,3,BLACKPINK,2022.09.11,38,2022
WSG워너비 1집,2022.09.10,보고싶었어,10,WSG워너비 (4FIRE),2022.09.04,37,2022
`The ReVe Festival 2022 - Feel My Rhythm`,2022.08.13,Feel My Rhythm,43,레드벨벳(Red Velvet),2022.08.07,33,2022
취중고백,2022.08.20,취중고백,35,김민석,2022.08.14,34,2022
IM HERO,2022.08.27,우리들의 블루스,27,임영웅,2022.08.21,35,2022
사랑인가 봐 (사내맞선 OST 스페셜 트랙),2022.09.03,사랑인가 봐,19,멜로망스(Melomance),2022.08.28,36,2022
NewJeans 1st EP `New Jeans`,2022.09.17,Hype boy,4,NewJeans,2022.09.11,38,2022
CHECKMATE,2022.09.10,SNEAKERS,11,ITZY (있지),2022.09.04,37,2022
미련을 말하는,2022.08.13,새벽에 걸려온 너의 전화는,44,한동근,2022.08.07,33,2022
IM HERO,2022.08.20,다시 만날 수 있을까,36,임영웅,2022.08.14,34,2022
PROTOTYPE RESEARCH #0063,2022.08.27,내 기쁨은 너가 벤틀리를 끄는 거야,28,김승민,2022.08.21,35,2022
FEARLESS,2022.09.03,FEARLESS,20,LE SSERAFIM (르세라핌),2022.08.28,36,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.09.17,새삥 (Prod. ZICO) (Feat. 호미들),5,지코 (ZICO),2022.09.11,38,2022
5.3,2022.09.10,그라데이션,12,10cm,2022.09.04,37,2022
스티커 사진,2022.08.13,스티커 사진,45,21학번,2022.08.07,33,2022
별에서 온 그대 OST Part 7,2022.08.20,너의 모든 순간,37,성시경,2022.08.14,34,2022
BORN PINK,2022.08.27,Shut Down,29,BLACKPINK,2022.08.21,35,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.09.03,LAW (Prod. Czaer),21,"윤미래, 비비(BIBI)",2022.08.28,36,2022
FOREVER 1 - The 7th Album,2022.09.17,FOREVER 1,6,소녀시대,2022.09.11,38,2022
나의 X에게,2022.09.10,나의 X에게,13,경서,2022.09.04,37,2022
IM HERO,2022.08.13,무지개,46,임영웅,2022.08.07,33,2022
사랑한다고 말해줘,2022.08.20,사랑한다고 말해줘,38,탑현,2022.08.14,34,2022
Girls - The 2nd Mini Album,2022.08.27,Girls,30,aespa,2022.08.21,35,2022
싸다9,2022.09.03,That That (prod. & feat. SUGA of BTS),22,싸이 (Psy),2022.08.28,36,2022
LOVE DIVE,2022.09.17,LOVE DIVE,7,IVE (아이브),2022.09.11,38,2022
정이라고 하자,2022.09.10,정이라고 하자 (Feat. 10CM),14,BIG Naughty (서동현),2022.09.04,37,2022
INVU - The 3rd Album,2022.08.13,INVU,47,태연 (TAEYEON),2022.08.07,33,2022
다정히 내 이름을 부르면 (경서예지 x 전건호),2022.08.20,다정히 내 이름을 부르면,39,"경서예지, 전건호",2022.08.14,34,2022
Seoul,2022.08.27,Love story,31,볼빨간사춘기,2022.08.21,35,2022
BETWEEN 1&2,2022.09.03,Talk that Talk,23,TWICE,2022.08.28,36,2022
WSG워너비 1집,2022.09.17,그때 그 순간 그대로 (그그그),8,WSG워너비 (가야G),2022.09.11,38,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.10.01,새삥 (Prod. ZICO) (Feat. 호미들),1,지코 (ZICO),2022.09.25,40,2022
우린 그렇게 사랑해서,2022.09.10,우린 그렇게 사랑해서,15,"강민경, 잔나비",2022.09.04,37,2022
After LIKE,2022.09.24,After LIKE,1,IVE (아이브),2022.09.18,39,2022
`The ReVe Festival 2022 - Feel My Rhythm`,2022.08.13,Feel My Rhythm,48,레드벨벳(Red Velvet),2022.08.07,33,2022
I Don`t Think That I Like Her,2022.08.20,I Don`t Think That I Like Her,40,Charlie Puth,2022.08.14,34,2022
That`s Hilarious,2022.08.27,That`s Hilarious,32,Charlie Puth,2022.08.21,35,2022
FEARLESS,2022.09.03,FEARLESS,24,LE SSERAFIM (르세라핌),2022.08.28,36,2022
FOREVER 1 - The 7th Album,2022.09.17,FOREVER 1,9,소녀시대,2022.09.11,38,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.10.01,새삥 (Prod. ZICO) (Feat. 호미들),2,지코 (ZICO),2022.09.25,40,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.09.10,LAW (Prod. Czaer),16,"윤미래, 비비(BIBI)",2022.09.04,37,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.09.24,새삥 (Prod. ZICO) (Feat. 호미들),2,지코 (ZICO),2022.09.18,39,2022
조각집,2022.08.13,드라마,49,아이유 (IU),2022.08.07,33,2022
다정히 내 이름을 부르면 (경서예지 x 전건호),2022.08.20,다정히 내 이름을 부르면,41,"경서예지, 전건호",2022.08.14,34,2022
해요 (2022),2022.08.27,해요 (2022),33,#안녕,2022.08.21,35,2022
내가 아니라도,2022.09.03,내가 아니라도,25,주호,2022.08.28,36,2022
WSG워너비 1집,2022.09.17,그때 그 순간 그대로 (그그그),10,WSG워너비 (가야G),2022.09.11,38,2022
BORN PINK,2022.10.01,Shut Down,3,BLACKPINK,2022.09.25,40,2022
IM HERO,2022.09.10,다시 만날 수 있을까,17,임영웅,2022.09.04,37,2022
BORN PINK,2022.09.24,Shut Down,3,BLACKPINK,2022.09.18,39,2022
스티커 사진,2022.08.13,스티커 사진,50,21학번,2022.08.07,33,2022
사랑한다고 말해줘,2022.08.20,사랑한다고 말해줘,42,탑현,2022.08.14,34,2022
Monologue,2022.08.27,Monologue,34,테이 (Tei),2022.08.21,35,2022
IM HERO,2022.09.03,무지개,26,임영웅,2022.08.28,36,2022
NewJeans 1st EP `New Jeans`,2022.09.17,Cookie,11,NewJeans,2022.09.11,38,2022
Pink Venom,2022.10.01,Pink Venom,4,BLACKPINK,2022.09.25,40,2022
나의 X에게,2022.09.10,나의 X에게,18,경서,2022.09.04,37,2022
Pink Venom,2022.09.24,Pink Venom,4,BLACKPINK,2022.09.18,39,2022
`키스 먼저 할까요?` OST Part 3,2022.08.13,"모든 날, 모든 순간 (Every day, Every Moment)",51,폴킴,2022.08.07,33,2022
Stay,2022.08.20,Stay,43,"The Kid LAROI, Justin Bieber",2022.08.14,34,2022
Seoul,2022.08.27,Love story,35,볼빨간사춘기,2022.08.21,35,2022
싸다9,2022.09.03,That That (prod. & feat. SUGA of BTS),27,싸이 (Psy),2022.08.28,36,2022
WSG워너비 1집,2022.09.17,보고싶었어,12,WSG워너비 (4FIRE),2022.09.11,38,2022
NewJeans 1st EP `New Jeans`,2022.10.01,Attention,5,NewJeans,2022.09.25,40,2022
정이라고 하자,2022.09.10,정이라고 하자 (Feat. 10CM),19,BIG Naughty (서동현),2022.09.04,37,2022
NewJeans 1st EP `New Jeans`,2022.09.24,Attention,5,NewJeans,2022.09.18,39,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.10.15,새삥 (Prod. ZICO) (Feat. 호미들),1,지코 (ZICO),2022.10.09,42,2022
`키스 먼저 할까요?` OST Part 3,2022.08.13,"모든 날, 모든 순간 (Every day, Every Moment)",52,폴킴,2022.08.07,33,2022
Stay,2022.08.20,Stay,44,"The Kid LAROI, Justin Bieber",2022.08.14,34,2022
별에서 온 그대 OST Part 7,2022.08.27,너의 모든 순간,36,성시경,2022.08.21,35,2022
해요 (2022),2022.09.03,해요 (2022),28,#안녕,2022.08.28,36,2022
5.3,2022.09.17,그라데이션,13,10cm,2022.09.11,38,2022
NewJeans 1st EP `New Jeans`,2022.10.01,Attention,6,NewJeans,2022.09.25,40,2022
MAXIDENT,2022.09.10,CASE 143,20,Stray Kids (스트레이 키즈),2022.09.04,37,2022
NewJeans 1st EP `New Jeans`,2022.09.24,Attention,6,NewJeans,2022.09.18,39,2022
After LIKE,2022.10.15,After LIKE,2,IVE (아이브),2022.10.09,42,2022
Girls - The 2nd Mini Album,2022.08.13,Girls,53,aespa,2022.08.07,33,2022
삼남매가 용감하게 OST Part.1,2022.08.20,그중에 그대를 만나,45,김호중,2022.08.14,34,2022
Girls - The 2nd Mini Album,2022.08.27,도깨비불 (Illusion),37,aespa,2022.08.21,35,2022
신사와 아가씨 OST Part.2,2022.09.03,사랑은 늘 도망가,29,임영웅,2022.08.28,36,2022
FIVE SENSES,2022.09.17,자격지심 (Feat. ZICO),14,BE`O (비오),2022.09.11,38,2022
Pink Venom,2022.10.01,Pink Venom,7,BLACKPINK,2022.09.25,40,2022
나의 X에게,2022.09.10,나의 X에게,21,경서,2022.09.04,37,2022
Pink Venom,2022.09.24,Pink Venom,7,BLACKPINK,2022.09.18,39,2022
NewJeans 1st EP `New Jeans`,2022.10.15,Hype boy,3,NewJeans,2022.10.09,42,2022
ENTWURF,2022.08.13,DICE,54,NMIXX,2022.08.07,33,2022
사랑한다고 말해줘,2022.08.20,사랑한다고 말해줘,46,탑현,2022.08.14,34,2022
취중고백,2022.08.27,취중고백,38,김민석,2022.08.21,35,2022
FEARLESS,2022.09.03,FEARLESS,30,LE SSERAFIM (르세라핌),2022.08.28,36,2022
NewJeans 1st EP `New Jeans`,2022.09.17,Cookie,15,NewJeans,2022.09.11,38,2022
딱 10CM만,2022.10.01,딱 10CM만,8,"10cm, BIG Naughty (서동현)",2022.09.25,40,2022
IM HERO,2022.09.10,우리들의 블루스,22,임영웅,2022.09.04,37,2022
딱 10CM만,2022.09.24,딱 10CM만,8,"10cm, BIG Naughty (서동현)",2022.09.18,39,2022
Rush Hour,2022.10.15,Rush Hour (Feat. j-hope of BTS),4,크러쉬 (CRUSH),2022.10.09,42,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.10.08,새삥 (Prod. ZICO) (Feat. 호미들),1,지코 (ZICO),2022.10.02,41,2022
CHARLIE,2022.08.13,I Don`t Think That I Like Her,55,Charlie Puth,2022.08.07,33,2022
사랑한다고 말해줘,2022.08.20,사랑한다고 말해줘,47,탑현,2022.08.14,34,2022
LOVE me,2022.08.27,LOVE me,39,BE`O (비오),2022.08.21,35,2022
ELEVEN,2022.09.03,ELEVEN,31,IVE (아이브),2022.08.28,36,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.09.17,LAW (Prod. Czaer),16,"윤미래, 비비(BIBI)",2022.09.11,38,2022
LOVE DIVE,2022.10.01,LOVE DIVE,9,IVE (아이브),2022.09.25,40,2022
FIVE SENSES,2022.09.10,자격지심 (Feat. ZICO),23,BE`O (비오),2022.09.04,37,2022
LOVE DIVE,2022.09.24,LOVE DIVE,9,IVE (아이브),2022.09.18,39,2022
NewJeans 1st EP `New Jeans`,2022.10.15,Attention,5,NewJeans,2022.10.09,42,2022
After LIKE,2022.10.08,After LIKE,2,IVE (아이브),2022.10.02,41,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.10.22,새삥 (Prod. ZICO) (Feat. 호미들),1,지코 (ZICO),2022.10.16,43,2022
봄여름가을겨울 (Still Life),2022.08.13,봄여름가을겨울 (Still Life),56,BIGBANG (빅뱅),2022.08.07,33,2022
스티커 사진,2022.08.20,스티커 사진,48,21학번,2022.08.14,34,2022
LOVE me,2022.08.27,LOVE me,40,BE`O (비오),2022.08.21,35,2022
CHECKMATE,2022.09.03,SNEAKERS,32,ITZY (있지),2022.08.28,36,2022
5.3,2022.09.17,그라데이션,17,10cm,2022.09.11,38,2022
Pink Venom,2022.10.01,Pink Venom,10,BLACKPINK,2022.09.25,40,2022
I NEVER DIE,2022.09.10,TOMBOY,24,(여자)아이들,2022.09.04,37,2022
Pink Venom,2022.09.24,Pink Venom,10,BLACKPINK,2022.09.18,39,2022
NewJeans 1st EP `New Jeans`,2022.10.15,Attention,6,NewJeans,2022.10.09,42,2022
After LIKE,2022.10.08,After LIKE,3,IVE (아이브),2022.10.02,41,2022
I love,2022.10.22,Nxde,2,(여자)아이들,2022.10.16,43,2022
통화연결음,2022.08.13,통화연결음,57,"보라미유, MJ (써니사이드)",2022.08.07,33,2022
`키스 먼저 할까요?` OST Part 3,2022.08.20,"모든 날, 모든 순간 (Every day, Every Moment)",49,폴킴,2022.08.14,34,2022
다정히 내 이름을 부르면 (경서예지 x 전건호),2022.08.27,다정히 내 이름을 부르면,41,"경서예지, 전건호",2022.08.21,35,2022
ELEVEN,2022.09.03,ELEVEN,33,IVE (아이브),2022.08.28,36,2022
NewJeans 1st EP `New Jeans`,2022.09.17,Cookie,18,NewJeans,2022.09.11,38,2022
딱 10CM만,2022.10.01,딱 10CM만,11,"10cm, BIG Naughty (서동현)",2022.09.25,40,2022
FEARLESS,2022.09.10,FEARLESS,25,LE SSERAFIM (르세라핌),2022.09.04,37,2022
딱 10CM만,2022.09.24,딱 10CM만,11,"10cm, BIG Naughty (서동현)",2022.09.18,39,2022
BORN PINK,2022.10.15,Shut Down,7,BLACKPINK,2022.10.09,42,2022
NewJeans 1st EP `New Jeans`,2022.10.08,Hype boy,4,NewJeans,2022.10.02,41,2022
After LIKE,2022.10.22,After LIKE,3,IVE (아이브),2022.10.16,43,2022
`The ReVe Festival 2022 - Feel My Rhythm`,2022.08.13,Feel My Rhythm,58,레드벨벳(Red Velvet),2022.08.07,33,2022
사랑한다고 말해줘,2022.08.20,사랑한다고 말해줘,50,탑현,2022.08.14,34,2022
IM NAYEON,2022.08.27,POP!,42,나연 (TWICE),2022.08.21,35,2022
IM HERO,2022.09.03,다시 만날 수 있을까,34,임영웅,2022.08.28,36,2022
FOREVER 1 - The 7th Album,2022.09.17,FOREVER 1,19,소녀시대,2022.09.11,38,2022
LOVE DIVE,2022.10.01,LOVE DIVE,12,IVE (아이브),2022.09.25,40,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2022.09.10,LAW (Prod. Czaer),26,"윤미래, 비비(BIBI)",2022.09.04,37,2022
LOVE DIVE,2022.09.24,LOVE DIVE,12,IVE (아이브),2022.09.18,39,2022
ANTIFRAGILE,2022.10.15,ANTIFRAGILE,8,LE SSERAFIM (르세라핌),2022.10.09,42,2022
Rush Hour,2022.10.08,Rush Hour (Feat. j-hope of BTS),5,크러쉬 (CRUSH),2022.10.02,41,2022
NewJeans 1st EP `New Jeans`,2022.10.22,Hype boy,4,NewJeans,2022.10.16,43,2022
조각집,2022.08.13,드라마,59,아이유 (IU),2022.08.07,33,2022
ENTWURF,2022.08.20,DICE,51,NMIXX,2022.08.14,34,2022
Seoul,2022.08.27,Love story,43,볼빨간사춘기,2022.08.21,35,2022
별에서 온 그대 OST Part 7,2022.09.03,너의 모든 순간,35,성시경,2022.08.28,36,2022
WSG워너비 1집,2022.09.17,보고싶었어,20,WSG워너비 (4FIRE),2022.09.11,38,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2022.10.01,사건의 지평선,13,윤하,2022.09.25,40,2022
해요 (2022),2022.09.10,해요 (2022),27,#안녕,2022.09.04,37,2022
